Organization,Title,URL,Description,Thumbnail,order,category,tags,New
Harvard,COVID-19 Monitoring in Puerto Rico,https://rconnect.dfci.harvard.edu/covidpr/,This tool provides a detailed summary of the COVID-19 cases in Puerto Rico provided by the PR Department of Health.,rconnect.dfci.harvard.edu_covidpr_.png,9,Public Health,"spanish, covid-19",
University of Wisconsin-Madison,Agricultural Forecasting and Advisory System,https://connect.doit.wisc.edu/ag_forecasting/,"This application provides weather-based forecasting and risk assessments for various crop diseases, helping farmers, crop advisors, and agricultural researchers to make data-driven decisions.",connect.doit.wisc.edu_ag_forecasting_.png.png,6,Natural Resources,"agriculture, science",
California Department of Public Health,Opioid Overdose Survey,https://skylab.cdph.ca.gov/ODdash/,"This app provides data on state and local level drug-related overdose outcomes for California, including deaths, emergency department visits, and hospitalizations, as well as opioid and select other drug prescription data.",skylab.cdph.ca.gov_ODdash__tab=CA.png,8,Public Health,"opoid, overdose, surveillance, california, state, county,",
California Department of Public Health,CCB (Disease and Cost Engine),https://skylab.cdph.ca.gov/communityBurden/#tab-2190-1,"A tool that can explore data on burden of disease in multiple levels of geographic granularity in order to answer and generate questions, both simple and complex, about the intersection between health disparities and place.",skylab.cdph.ca.gov_communityBurden_.png,10,Public Health,"map, trend, social determinants of health",
National Cancer Institute,Colorectal Cancer Cure Probability Calculator,https://appshare.cancer.gov/connect/,This app estimates the probability that a patient with colorectal cancer is cured of their cancer.,appshare.cancer.gov_connect_.png,12,Public Health,"risk calculator, cancer, science, modeling",
FDA,GANo: GII.4 Epitope Tracker,https://dnahive.fda.gov/vmap/norovirus/epitope/,This app provides curated and comprehensive databases for visualization and analysis of norovirus genetic and antigenic diversification.,dnahive.fda.gov_vmap_norovirus_epitope_.png,13,Public Health,"epitope, map, norovirus, science",
City of Reykjavik,Áætlaður fjöldi gesta í Sundlaugum Reykjavíkur,https://gestafjoldi.reykjavik.is/,"This app uses live data to answer the question: How crowded is a specific pool at a specific time? If you’re not from Iceland, you might not understand just how valuable this information is. It would be like if foodies in New York could know how many available tables there were at popular restaurants, on a Saturday night, minutes before leaving and without any reservations. Story at <https://posit.co/about/customer-stories/iceland/>",gestafjoldi.reykjavik.is_.png,15,Public Service,"streaming data, city, community service",
State of Indiana,Employer Connector,https://www.in.gov/che/cte/employer-connector/,The CTE Employer Connector tool allows employers to gather information about students participating in CTE across the State of Indiana.,www.in.gov_che_cte_employer-connector_.png,14,Public Service,"state, employment, map, education",
California Department of Public Health,California Communicable diseases Assessment Tool,https://skylab4.cdph.ca.gov/calcat/,Modeling Communicable Diseases to Inform State and Local Response,skylab4.cdph.ca.gov_calcat_.png,7,Public Health,"state, covid-19, influenza, infection, map, surveillance, california, county, science",
Oregon Health Authority,Oregon Injury Prevention Dashboard,https://oregoninjurydata.shinyapps.io/injury/,"Oregon’s Injury and Violence Prevention Program uses data to understand when and why violence, unintended injuries, and death occur.",oregoninjurydata.shinyapps.io_injury_.png,11,Public Health,"state, injury, map",
USGS,Decision-Support Tool for CWD Management,https://rconnect.usgs.gov/CWD_baseapp/,This application is a decision-support tool for natural resource managers interested in investigating different scenarios associated with chronic wasting disease (CWD),rconnect.usgs.gov_CWD_baseapp_.png,2,Natural Resources,"modeling, simulation, science",
USGS,BatTool,https://rconnect.usgs.gov/battool/,"The BatTool R package provides functions implementing a demographic matrix model with associated Shiny graphical user interface. The user can project the abundance of a bat population of several species using its estimated rate of population growth, including stochasticity and the effects of stressors in the form of direct mortality and reductions to vital rates.",rconnect.usgs.gov_battool_.png,3,Natural Resources,"modeling, simulation, map, science",
USGS,Mapping Radon in Pennsylvania's Groundwater,https://rconnect.usgs.gov/PA_radon_map/,Pennsylvania Water Science Center's Radon in groundwater mapping tool,rconnect.usgs.gov_PA_radon_map_.png,1,Natural Resources,"modeling, simulation, map, science",
USGS,Native Plant Seed Mapping Toolkit,https://rconnect.usgs.gov/seed-toolkit/,Welcome to the Native Plant Seed Mapping Toolkit! These tools help meet objectives pertinent to restoration planning and implementation.,rconnect.usgs.gov_seed-toolkit_.png,4,Natural Resources,"modeling, simulation, map, science",
NOAA,Aquaculture Nutrient Removal Calculator,https://connect.fisheries.noaa.gov/ANRC/,"This calculator predicts the amount of nitrogen farmed eastern oysters remove from the water when harvested, a key environmental benefit that oysters provide. This tool applies to oyster farms located within the geographic range of North Carolina to Maine, USA.",connect.fisheries.noaa.gov_ANRC_.png,5,Natural Resources,"modeling, simulation, map, science",
SSMSI,Cambriolages de logements à l'échelle infracommunale,https://ssmsi.shinyapps.io/cambriolageslogementsechelleinfracommunale/,Interstats: public statistics on insecurity and crime,ssmsi.shinyapps.io_cambriolageslogementsechelleinfracommunale_.png,16,Public Service,"map, statistics, public service",
Jobs and Skills Australia (JSA),Australia's Nowcast of Employment by Region and Occupation (NERO),https://www.jobsandskills.gov.au/data/nero/nero-dashboard,"Data on the current employment by occupation in each region, highlighting changes in comparison with historical levels, using an emerging technique known as nowcasting. ",www.jobsandskills.gov.au_data_nero_nero-dashboard.png,17,Public Service,"map, statistics, public service",
UK Department for Transport,Road Safety Statistics: Collision Analysis Tool,https://department-for-transport.shinyapps.io/collision_analysis_tool/,"This data tool allows the user to customise and download data for personal injury reported road collisions in Great Britain, based on data reported by police using the STATS19 system which forms the basis of the department’s published road casualty statistics.",department-for-transport.shinyapps.io_collision_analysis_tool_.png,18,Public Service,"data, transportation, injury, public service",
University of Maryland Center for Environmental Science,What will climate feel like in 60 years?,https://fitzlab.shinyapps.io/cityapp/,"This web application helps to provide answers to these questions. We don’t have time machines so we can’t travel to the year 2080. However, we can think about places that are warmer and wetter (or drier) today than we where live. Perhaps you have even traveled to such a place for a holiday or for work and experienced that place’s weather. We can ask: If climate continues to change, how much will my home town feel like some warmer and wetter (or drier) place?",fitzlab.shinyapps.io_cityapp_.png,19,Public Service,"map, climate, science, public service",
"John Helveston, George Washington University",POTUS Economic Scorecard,https://jhelvy.github.io/potus-econ-scorecard/,POTUS Economic Scorecard is an interactive Shiny application that allows users to compare economic performance metrics across different presidential administrations. The app is a static web page that runs entirely in your web browser using shinylive.,jhelvy.github.io_potus-econ-scorecard_.png,20,Public Service,"economy, politics, shinylive, quarto",
Kentucky Department of Public Health,Transcriptomic Atlas of Nervous System Tumors,https://kdph.shinyapps.io/atlas/,"This project aims to bridge critical gaps in understanding the molecular landscape of nervous system tumors by creating a comprehensive, publicly accessible dataset of gene expression profiles.",kdph.shinyapps.io_atlas_.png,,Public Health,cancer,new
